,season,round,days_from_epoch,game_date,day,win_seed,win_region,win_market,win_name,win_alias,win_team_id,win_school_ncaa,win_code_ncaa,win_kaggle_team_id,win_pts,lose_seed,lose_region,lose_market,lose_name,lose_alias,lose_team_id,lose_school_ncaa,lose_code_ncaa,lose_kaggle_team_id,lose_pts,num_ot,academic_year
66,1993,32,8480,1993-03-21,Sunday,02,W,Cincinnati,Bearcats,CIN,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,Cincinnati,140,1153,92,07,W,New Mexico State,Aggies,NMSU,5016fe1a-9571-4d10-bf5b-b9c1b496bd57,New Mexico St.,472,1308,55,0,1992
67,1993,64,8478,1993-03-19,Friday,02,W,Cincinnati,Bearcats,CIN,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,Cincinnati,140,1153,93,15,W,Coppin State,Eagles,COPP,5f9a90a2-3926-404e-8c8a-d9f22ad6907d,Coppin St.,165,1164,66,0,1992
68,2010,32,14689,2010-03-21,Sunday,12,W,Cornell,Big Red,COR,88ff8c00-958e-4ccf-a21d-77fab9e93692,Cornell,167,1165,87,04,W,Wisconsin,Badgers,WIS,c7569eae-5b93-4197-b204-6f3a62146b25,Wisconsin,796,1458,69,0,2009
69,2010,64,14687,2010-03-19,Friday,12,W,Cornell,Big Red,COR,88ff8c00-958e-4ccf-a21d-77fab9e93692,Cornell,167,1165,78,05,W,Temple,Owls,TEM,8598d1b6-106b-4083-a512-2e495729525a,Temple,690,1396,65,0,2009
70,2015,64,16514,2015-03-20,Friday,11,W,Dayton,Flyers,DAY,632616c5-2dbb-4017-a449-c9dfc303f026,Dayton,175,1173,66,06,W,Providence,Friars,PROV,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,Providence,556,1344,53,0,2014
71,2015,68,16512,2015-03-18,Wednesday,11,W,Dayton,Flyers,DAY,632616c5-2dbb-4017-a449-c9dfc303f026,Dayton,175,1173,56,11,W,Boise State,Broncos,BSU,c1c54dbf-805c-47fc-a707-c803e94db2a4,Boise St.,66,1129,55,0,2014
72,1986,32,5917,1986-03-15,Saturday,12,W,DePaul,Blue Demons,DEP,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,DePaul,176,1177,74,04,W,Oklahoma,Sooners,OKLA,b2fda957-e15c-4fb2-8a13-6e58496f561e,Oklahoma,522,1328,69,0,1985
73,1986,64,5915,1986-03-13,Thursday,12,W,DePaul,Blue Demons,DEP,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,DePaul,176,1177,72,05,W,Virginia,Cavaliers,UVA,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Virginia,746,1438,68,0,1985
74,1991,32,7745,1991-03-17,Sunday,12,W,Eastern Michigan,Eagles,EMU,2ed86226-3fff-4083-90fa-6b02307e6f73,Eastern Mich.,204,1185,71,13,W,Penn State,Nittany Lions,PSU,4aebd148-8119-4875-954c-66779867989b,Penn St.,539,1336,68,1,1990
75,1991,64,7743,1991-03-15,Friday,12,W,Eastern Michigan,Eagles,EMU,2ed86226-3fff-4083-90fa-6b02307e6f73,Eastern Mich.,204,1185,76,05,W,Mississippi State,Bulldogs,MSST,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,Mississippi St.,430,1280,56,0,1990
76,2000,8,11042,2000-03-26,Sunday,05,W,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235,1196,77,03,W,Oklahoma State,Cowboys,OKST,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Oklahoma St.,521,1329,65,0,1999
77,2000,64,11033,2000-03-17,Friday,05,W,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235,1196,69,12,W,Butler,Bulldogs,BUT,bdb7d7a4-45f8-4bf3-ab85-15488c451494,Butler,87,1139,68,1,1999
78,2017,64,17241,2017-03-16,Thursday,04,W,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235,1196,80,13,W,East Tennessee State,Buccaneers,ETSU,d750d88f-f7b8-4bc3-a5f6-36e7a67ec93e,ETSU,198,1190,65,0,2016
79,1987,64,6280,1987-03-13,Friday,06,W,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235,1196,82,11,W,North Carolina State,Wolfpack,NCST,52df1e19-b142-4a76-a439-ad68455d0581,NC State,490,1301,70,0,1986
80,2017,32,17243,2017-03-18,Saturday,04,W,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235,1196,65,05,W,Virginia,Cavaliers,UVA,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Virginia,746,1438,39,0,2016
